	SUBJECTN	10.0-DseqL	11.0-DseqL	12.0-DseqL	13.0-DseqL	14.0-DseqL	15.0-DseqL	16.0-DseqL	17.0-DseqL	18.0-DseqL	19.0-DseqL	20.0-DseqL	21.0-DseqL	22.0-DseqL	23.0-DseqL	24.0-DseqL	25.0-DseqL	26.0-DseqL	27.0-DseqL	28.0-DseqL	29.0-DseqL	30.0-DseqL	31.0-DseqL	32.0-DseqL	33.0-DseqL	34.0-DseqL	35.0-DseqL	36.0-DseqL	37.0-DseqL	5.0-DseqL	6.0-DseqL	7.0-DseqL	8.0-DseqL	9.0-DseqL
30	BC_10	0.0516441498852919	0.062120825898547005	0.0655620698445068	0.062401223553403	0.0582972215141473	0.0552893193984196	0.0479225082844762	0.037445832271221	0.037165434616365	0.0299005862860056	0.0259240377262299	0.0296966607188376	0.0227886821310222	0.0233494774407341	0.0208258985470303	0.0185317359163905	0.0154728524088708	0.0110884527147591	0.0103492225337752	0.0050471577874076	0.0029569207239357603	0.00211572775936783	0.000203925567167984	7.64720876879939e-05	0.00012745347947999	2.5490695895998e-05	2.5490695895998e-05		0.04991078256436401	0.0670150395105786	0.0574050471577874	0.0519755289319398	0.0511598266632679
9	BC_11	0.0511522245538379	0.05804439481739599	0.0634349190458772	0.0616637467993762	0.059315018385537994	0.0560422001039601	0.0502281346860982	0.0411027472421693	0.0380802032997709	0.0319581079259958	0.0300521725737828	0.032131374776197	0.0253354638738617	0.024007084688985998	0.0236027953718499	0.0197331690506902	0.0160368095797316	0.0109158115626745	0.0100879810561577	0.00440867874400785	0.00248349151955028	0.0017326685020118198	7.700748897830308e-05	9.625936122287891e-05	1.92518722445758e-05	5.775561673372739e-05	3.85037444891516e-05		0.0480526731224612	0.0615289836936642	0.0544250428354157	0.0509019502146584	0.0507286833644572
37	BC_12	0.0474106854287348	0.0535265892648485	0.0625761380304801	0.0603137508390722	0.0579519180568332	0.0546453521616985	0.0491012604728638	0.0349054023817219	0.0391815627874599	0.0310021629416006	0.0263282201725381	0.0297342316585038	0.0255575168435969	0.0241404171742535	0.0271983690923104	0.0215796932103523	0.018347711508340997	0.0141709966934341	0.0108395694005917	0.0063645178131914604	0.0033811500882579603	0.0016905750441289801	0.00029833677249335		0.000223752579370012				0.0502200233697138	0.0653606145737513	0.056733709569152	0.051885737016135	0.050319468960545
0	BC_13	0.0482304359205514	0.0580015703608922	0.0657515921714601	0.0637013987844244	0.0628289760665368	0.0583650798266787	0.0531305435193532	0.0430976822636461	0.0400151219937767	0.0340826475121412	0.0269287812254631	0.0291679995347079	0.0236862767906476	0.0225666676360252	0.0221740774129758	0.0200802628900457	0.0156890685433449	0.0107453398086486	0.0101055631488644	0.00633960508331637	0.0028062930758717	0.00241370285282229	0.00030534795126065095	0.00024718643673481296	7.27018931572978e-05	5.816151452583829e-05	2.9080757262919105e-05	1.4540378631459602e-05	0.0492918835606479	0.0587722104283596	0.0515456422485241	0.0475761188821357	0.0478814668333963
5	BC_14	0.0496380742347982	0.0573567858857844	0.0634214878972735	0.0639372543439984	0.0566275988404147	0.0539064862076938	0.0499048499831042	0.0403009230440891	0.038060006758319	0.033969445284294	0.0294342575630925	0.0349120529283085	0.0277802479235954	0.0276023974247248	0.0277446778238213	0.0257883223362442	0.01890550802995	0.0146726661568286	0.0118270581748982	0.00602913191171501	0.00435733722233091	0.00289896313159158	0.000426841197289558	0.000302345848080104	0.000266775748305974	0.00010671029932239001	3.55700997741299e-05	8.892524943532471e-05	0.045476372561225	0.0535330001600655	0.0456897931598698	0.0452985220623544	0.0474149429989151
7	BC_16	0.0520129354582599	0.0647353846749676	0.0635735171665924	0.0614240622760985	0.0623341918243256	0.0542011192656997	0.04936000464747001	0.040065064580469004	0.0380898898162313	0.0304990220948471	0.0256385430181445	0.0284851184136636	0.0215526422803586	0.0195774675161209	0.0192095428051355	0.016227416200306002	0.0122189732964118	0.00805561472473422	0.00770705447222168	0.00362115373443582	0.0018589880134002102	0.00145233438546891	0.000135551209310432		1.9364458472918802e-05			1.9364458472918802e-05	0.0566797699502333	0.0662651768943281	0.0587130380898898	0.0530005228403788	0.0535620921360934
17	BC_17	0.0521501544309812	0.0624138750296983	0.0652886671418389	0.0633167023045854	0.0588976003801378	0.0528866714183892	0.0481824661439772	0.0388453314326443	0.0356616773580423	0.0310525065336184	0.0277025421715372	0.0290567830838679	0.0243050605844619	0.0229745782846282	0.0215253029223093	0.0189831313851271	0.014991684485626001	0.009836065573770491	0.00862437633642195	0.0048942741743882206	0.00237586124970302	0.00178189593727726	2.37586124970302e-05	2.37586124970302e-05	4.7517224994060295e-05	2.37586124970302e-05	2.37586124970302e-05		0.0511047754811119	0.0650510810168686	0.0554526015680684	0.05509622238061299	0.0501544309812307
10	BC_18	0.0496456692913386	0.0600590551181102	0.0618897637795276	0.0613976377952756	0.0567913385826772	0.0554330708661417	0.0507086614173228	0.0402362204724409	0.0373425196850394	0.0329330708661417	0.0283267716535433	0.0315748031496063	0.0263779527559055	0.0263385826771654	0.0269685039370079	0.0238385826771654	0.0188779527559055	0.0138779527559055	0.0114173228346457	0.0067913385826771705	0.00362204724409449	0.00238188976377953	0.00047244094488189004	0.000295275590551181	0.00015748031496063	1.96850393700787e-05		1.96850393700787e-05	0.0476968503937008	0.0566732283464567	0.0497834645669291	0.0465157480314961	0.0484251968503937
46	Biotech_045	0.048939304655274005	0.0566293459045374	0.0626988803771361	0.0613730111962286	0.0551561579257513	0.0552740129640542	0.0496169711255156	0.0405421331761933	0.0378314672952269	0.034325279905716	0.0284030642309959	0.0317324690630524	0.0266057748968768	0.0249263406010607	0.0252799057159694	0.0226576311137301	0.0171773718326458	0.0130819092516205	0.0109015910430171	0.006511490866234529	0.00329994107248085	0.0024749558043606398	0.000383028874484384	0.00017678255745433102	2.94637595757219e-05	8.839127872716559e-05		5.8927519151443704e-05	0.0524160282852092	0.0605185621685327	0.0512080141426046	0.047348261638185	0.0479375368296995
31	Biotech_050	0.0507579060760727	0.0607350791248814	0.0656595449998718	0.0624278642694093	0.0558619097694221	0.0563492267049681	0.0510143886737285	0.0379850727128164	0.0400112852342969	0.0327271794608736	0.0278283618456488	0.0310343943163456	0.0232373233476109	0.0233912129062043	0.0213906486444895	0.0207750904101157	0.0170560927441073	0.0103875452050578	0.0110287516991972	0.00615558234373798	0.00328297724999359	0.00230834337890174	0.000153889558593449	0.000282130857421324	5.12965195311498e-05	2.56482597655749e-05		5.12965195311498e-05	0.051347816050681	0.0594526661366026	0.0536305111698171	0.0512452230116187	0.0481930800995152
50	Biotech_064	0.0465116279069767	0.0533892871714169	0.0588389578597657	0.060500087427872	0.0560121233315848	0.0542927085154747	0.0524567232033572	0.0410036719706242	0.0374482718423967	0.0350294340502419	0.0316488896660255	0.0338637290901673	0.0284723436498222	0.0293174797458763	0.0283266305298129	0.0263157894736842	0.0213615433933671	0.0161741563210351	0.0148335956169494	0.0068193740164364395	0.0043422509762779	0.00323483126420703	0.000466281984029842	0.000203998368013056	8.74278720055954e-05	0.000174855744011191	5.82852480037303e-05		0.0440927901148219	0.0552252724835344	0.0492801771871539	0.0441510753628257	0.0455207786909133
21	Biotech_065	0.0473055623512666	0.0577586015168027	0.0636968173831817	0.0658319062340146	0.0573805128661344	0.0551342214709873	0.0524431198985833	0.0411449413962591	0.0380090296465983	0.03367213041834399	0.0294019527166782	0.0319818517447679	0.0239307875364188	0.0236416609212019	0.0233747748148478	0.0211729644374263	0.0168583057180348	0.0105642417098503	0.00911860863376554	0.00567132976002491	0.00326935480283789	0.0027133420812668198	0.000289126615216956	0.000155683562039899	8.89620354513711e-05	6.672152658852829e-05	2.22405088628428e-05	4.44810177256856e-05	0.0499966639236706	0.0601605764739897	0.0531325756733314	0.0482619042323688	0.0493516891666481
42	Biotech_067	0.0502443199072413	0.0594925875824752	0.0652071888026944	0.0627225795765122	0.0607348921955664	0.0577809678933274	0.0516522651354112	0.0415757943847831	0.0414101537697043	0.0333765839383817	0.0280760842558595	0.0288766805620738	0.0235761808795517	0.0217817408828645	0.0213400325759876	0.0184965353504679	0.0160947464318251	0.0107390332109433	0.008475278138199491	0.0048035778372857	0.00234657538028325	0.00256742953372167	0.000138033845899014	0.00011042707671921202	2.76067691798029e-05	2.76067691798029e-05			0.0506584214449383	0.0612318140408028	0.0561245617425393	0.048173812218755996	0.0503271402147807
90	Biotech_072	0.0456076340162784	0.057255122088128	0.0627280381700814	0.067218635980915	0.0571147909065394	0.057255122088128	0.0578164468144822	0.041678360931799	0.0388717373000281	0.032977827673309	0.031434184675834996	0.0319955094021892	0.0279259051361212	0.023014313780522003	0.0225933202357564	0.0238563008700533	0.0223126578725793	0.014313780522032	0.0131911310693236	0.00617457198989615	0.00505192253718776	0.00406960426606792	0.000701655907942745	0.000140331181588549	0.000280662363177098			0.000140331181588549	0.0440639910188044	0.0541678360931799	0.0451866404715128	0.0442043222003929	0.0436429974740387
