"SUBJECTN"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"
"BC_13-Healthy#NA"	12	4522	0.0657515921714601
"BC_13-Healthy#NA"	13	4381	0.0637013987844244
"BC_13-Healthy#NA"	14	4321	0.0628289760665368
"BC_13-Healthy#NA"	6	4042	0.0587722104283596
"BC_13-Healthy#NA"	15	4014	0.0583650798266787
"BC_13-Healthy#NA"	11	3989	0.0580015703608922
"CD1113-Celiac#FALSE"	12	3881	0.0638217398454202
"CD1113-Celiac#FALSE"	13	3843	0.0631968426245683
"CD1169-Celiac#FALSE"	13	3761	0.0614753428464015
"CD1205-Celiac#FALSE"	12	3760	0.0618441396098556
"HC_21_BB-Healthy#NA"	12	3753	0.0625489575173747
"HC_21_BB-Healthy#NA"	13	3752	0.0625322911284812
"CD1113-Celiac#FALSE"	6	3719	0.0611577043249466
"CD1169-Celiac#FALSE"	12	3705	0.0605599960770853
"CD1113-Celiac#FALSE"	11	3684	0.0605821410952146
"CD1205-Celiac#FALSE"	13	3672	0.0603967235764334
"BC_13-Healthy#NA"	16	3654	0.0531305435193532
"CD1205-Celiac#FALSE"	6	3630	0.0597059113786638
"CD1113-Celiac#FALSE"	14	3618	0.0594967932905772
"HC_21_BB-Healthy#NA"	14	3601	0.0600156664055599
"CD1169-Celiac#FALSE"	6	3598	0.0588110299285703
"BC_14-Healthy#NA"	13	3595	0.0639372543439984
"BC_14-Healthy#NA"	12	3566	0.0634214878972735
"BC_13-Healthy#NA"	7	3545	0.0515456422485241
"CD1169-Celiac#FALSE"	11	3530	0.0576995374229719
"HC_21_BB-Healthy#NA"	6	3514	0.0585656905718238
"HC_21_BB-Healthy#NA"	11	3490	0.0581656972383794
"CD1113-Celiac#FALSE"	15	3471	0.057079427725703
"HC_10_BB-Healthy#NA"	12	3460	0.0634862385321101
"CD1169-Celiac#FALSE"	15	3455	0.0564736265712091
"CD1205-Celiac#FALSE"	11	3455	0.0568275272212902
"CD1169-Celiac#FALSE"	14	3447	0.056342862747021
"BC_16-Healthy#NA"	6	3422	0.0662651768943281
"BC_13-Healthy#NA"	5	3390	0.0492918835606479
"CD1205-Celiac#FALSE"	14	3379	0.0555774861015165
"CD1110-Celiac#FALSE"	13	3376	0.0608277328336426
"HC_21_BB-Healthy#NA"	15	3351	0.0558490691821803
"HC_10_BB-Healthy#NA"	14	3349	0.0614495412844037
"CD1110-Celiac#FALSE"	14	3345	0.0602691843390209
