"SAMPLE"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"	"SUBJECTn"
"1"	"BC_13"	"D6_14-DseqL"	1497	0.0223129778956939	NA
"2"	"BC_13"	"D6_12-DseqL"	1410	0.0210162316853229	NA
"3"	"CD1110"	"D3_21-DseqL"	1399	0.025763798088433	NA
"4"	"BC_13"	"D6_11-DseqL"	1376	0.0205094573042584	NA
"5"	"BC_13"	"D6_13-DseqL"	1364	0.0203305957580003	NA
"6"	"BC_13"	"D6_15-DseqL"	1319	0.0196598649595326	NA
"7"	"CD1110"	"D3_19-DseqL"	1319	0.0242905287195448	NA
"8"	"BC_16"	"D6_11-DseqL"	1308	0.0261140392908481	NA
"9"	"BC_13"	"D3_6-DseqL"	1297	0.0193319521247261	NA
"10"	"CD1205"	"D3_21-DseqL"	1288	0.0216641716986527	NA
"11"	"HC_21_BB"	"D3_19-DseqL"	1288	0.0219585379159847	NA
"12"	"HC_21_BB"	"D6_14-DseqL"	1279	0.0218051009274414	NA
"13"	"CD1110"	"D3_20-DseqL"	1272	0.0234249829653229	NA
"14"	"CD1205"	"D6_14-DseqL"	1270	0.0213614115351622	NA
"15"	"CD1113"	"D3_6-DseqL"	1265	0.0212808909375368	NA
"16"	"CD1110"	"D3_22-DseqL"	1262	0.0232408242942119	NA
"17"	"CD1110"	"D3_18-DseqL"	1261	0.0232224084271008	NA
"18"	"CD1205"	"D6_12-DseqL"	1258	0.0211595714261686	NA
"19"	"CD1113"	"D6_11-DseqL"	1244	0.020927611325135	NA
"20"	"BC_16"	"D6_12-DseqL"	1243	0.024816323271043	NA
"21"	"HC_21_BB"	"D3_18-DseqL"	1243	0.0211913529732679	NA
"22"	"CD1113"	"D6_12-DseqL"	1240	0.0208603199703918	NA
"23"	"CD1205"	"D3_6-DseqL"	1240	0.0208568112626781	NA
"24"	"HC_21_BB"	"D6_11-DseqL"	1233	0.0210208674304419	NA
"25"	"HC_21_BB"	"D6_13-DseqL"	1230	0.0209697217675941	NA
"26"	"HC_21_BB"	"D6_12-DseqL"	1223	0.0208503818876159	NA
"27"	"CD1113"	"D6_14-DseqL"	1217	0.0204733946806184	NA
"28"	"CD1169"	"D3_6-DseqL"	1215	0.0202973605078517	NA
"29"	"CD1169"	"D6_14-DseqL"	1208	0.020180420982292	NA
"30"	"BC_16"	"D6_14-DseqL"	1206	0.0240776233828462	NA
"31"	"HC_21_BB"	"D3_21-DseqL"	1202	0.0204923622476814	NA
"32"	"CD1169"	"D3_21-DseqL"	1198	0.0200133645172068	NA
"33"	"HC_21_BB"	"D3_6-DseqL"	1182	0.0201513911620295	NA
"34"	"BC_13"	"D3_21-DseqL"	1177	0.0175433366621454	NA
"35"	"CD1205"	"D6_13-DseqL"	1176	0.0197803306813786	NA
"36"	"CD1205"	"D6_11-DseqL"	1173	0.0197298706541302	NA
"37"	"BC_13"	"D3_19-DseqL"	1172	0.0174688110178713	NA
"38"	"CD1113"	"D6_13-DseqL"	1167	0.0196322527463284	NA
"39"	"BC_16"	"D3_6-DseqL"	1163	0.0232191343235905	NA
"40"	"CD0844"	"D6_11-DseqL"	1161	0.0229360516801991	NA
"41"	"HC_10_BB"	"D6_14-DseqL"	1158	0.0217615996091181	NA
"42"	"CD1113"	"D6_15-DseqL"	1152	0.0193799101660414	NA
"43"	"CD1110"	"D3_23-DseqL"	1147	0.0211229995764351	NA
"44"	"BC_13"	"D1_5-DseqL"	1142	0.0170216571522261	NA
"45"	"CD1205"	"D3_19-DseqL"	1138	0.019141170336232	NA
"46"	"CD1169"	"D6_12-DseqL"	1134	0.0189442031406615	NA
"47"	"HC_23_BB"	"D2_24-DseqL"	1132	0.021983997514177	NA
"48"	"HC_21_BB"	"D3_17-DseqL"	1131	0.019281914893617	NA
"49"	"CD0844"	"D3_6-DseqL"	1128	0.0222841225626741	NA
"50"	"CD1169"	"D6_15-DseqL"	1128	0.0188439692616104	NA
"51"	"CD1169"	"D6_13-DseqL"	1127	0.0188272636151019	NA
"52"	"CD1169"	"D6_11-DseqL"	1124	0.0187771466755763	NA
"53"	"CD1169"	"D3_22-DseqL"	1121	0.0187270297360508	NA
"54"	"CD1205"	"D3_20-DseqL"	1117	0.0187879501454931	NA
"55"	"BC_16"	"D6_13-DseqL"	1116	0.0222807858169621	NA
"56"	"HC_10_BB"	"D6_12-DseqL"	1111	0.0208783567925131	NA
