"SAMPLE"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"	"SUBJECTn"
"1"	"BC_13"	"D3_1-rFrame"	12771	0.190353400605148	NA
"2"	"CD1110"	"D3_1-rFrame"	12658	0.233108045892341	NA
"3"	"CD1169"	"D3_1-rFrame"	12324	0.205880387570999	NA
"4"	"CD1205"	"D3_1-rFrame"	11916	0.200427228230703	NA
"5"	"CD1113"	"D3_1-rFrame"	11881	0.199872146425988	NA
"6"	"HC_21_BB"	"D3_1-rFrame"	11705	0.199553327877796	NA
"7"	"HC_10_BB"	"D3_1-rFrame"	10934	0.205476105462951	NA
"8"	"BC_14"	"D3_1-rFrame"	10725	0.195202300566041	NA
"9"	"CD1202"	"D3_1-rFrame"	10474	0.224316278671321	NA
"10"	"BC_11"	"D3_1-rFrame"	9879	0.194617915328697	NA
"11"	"HC_20_BB"	"D3_1-rFrame"	9690	0.210697977821265	NA
"12"	"BC_16"	"D3_1-rFrame"	9643	0.192521162753554	NA
"13"	"CD0844"	"D3_1-rFrame"	9617	0.18998794918904	NA
"14"	"CD1208"	"D3_1-rFrame"	9525	0.207263469405518	NA
"15"	"BC_18"	"D3_1-rFrame"	9003	0.181416999153669	NA
"16"	"CD0497"	"D3_1-rFrame"	8884	0.219721514604407	NA
"17"	"Biotech_065"	"D3_1-rFrame"	8654	0.197593442473229	NA
"18"	"HC_23_BB"	"D3_1-rFrame"	8534	0.16573448302649	NA
"19"	"HC_24_BB"	"D3_1-rFrame"	8336	0.19472995701738	NA
"20"	"HC_11_BB"	"D3_1-rFrame"	8084	0.204446018057206	NA
"21"	"CD1086"	"D3_1-rFrame"	8041	0.194909707914192	NA
"22"	"CD1125"	"D3_1-rFrame"	8034	0.209639120110639	NA
"23"	"Biotech_097"	"D3_1-rFrame"	8009	0.196752321525082	NA
"24"	"Biotech_108"	"D3_1-rFrame"	7967	0.192031430775164	NA
"25"	"Biotech_086"	"D3_1-rFrame"	7911	0.189032258064516	NA
"26"	"CD1071"	"D3_1-rFrame"	7887	0.19493808546924	NA
"27"	"CD1212"	"D3_1-rFrame"	7805	0.204887908857038	NA
"28"	"Biotech_092"	"D3_1-rFrame"	7738	0.175341596610093	NA
"29"	"CD1368"	"D3_1-rFrame"	7632	0.183510062756979	NA
"30"	"HC_14_BB"	"D3_1-rFrame"	7617	0.208753562815172	NA
"31"	"Biotech_050"	"D3_1-rFrame"	7546	0.199476592032568	NA
"32"	"CD1076"	"D3_1-rFrame"	7500	0.200390092713816	NA
"33"	"CD1129"	"D3_1-rFrame"	7466	0.191004911993451	NA
"34"	"HC_35_BB"	"D3_1-rFrame"	7463	0.194136621403673	NA
"35"	"CD1115"	"D3_1-rFrame"	7428	0.223499323002858	NA
"36"	"BC_12"	"D3_1-rFrame"	7375	0.188089773017087	NA
"37"	"CD1127"	"D3_1-rFrame"	7368	0.195318505951276	NA
"38"	"Biotech_064"	"D3_1-rFrame"	7299	0.217335636017151	NA
"39"	"BC_10"	"D3_1-rFrame"	7179	0.18794177705639	NA
"40"	"Biotech_067"	"D3_1-rFrame"	7142	0.20156351423814	NA
"41"	"Biotech_107"	"D3_1-rFrame"	7130	0.17845969013591	NA
"42"	"Biotech_081"	"D3_1-rFrame"	7043	0.229144976574701	NA
"43"	"CD1211"	"D3_1-rFrame"	7038	0.184236014764011	NA
"44"	"BC_17"	"D3_1-rFrame"	6865	0.167688512176653	NA
"45"	"HC_22_BB"	"D3_1-rFrame"	6805	0.211433897778468	NA
"46"	"HC_31_BB"	"D3_1-rFrame"	6744	0.220774544145088	NA
"47"	"CD1362_HC"	"D3_1-rFrame"	6693	0.155716346377553	NA
"48"	"HC_23_BB"	"D2_1-rFrame"	6675	0.12963178746213	NA
"49"	"HC_16_BB"	"D3_1-rFrame"	6667	0.185901904469788	NA
"50"	"BC_13"	"D6_2-rFrame"	6393	0.0952884887689854	NA
"51"	"Biotech_089"	"D3_1-rFrame"	6343	0.201627515178486	NA
"52"	"Biotech_087"	"D3_1-rFrame"	6217	0.182670270905565	NA
"53"	"Biotech_096"	"D3_1-rFrame"	6179	0.212900113702925	NA
"54"	"Biotech_111"	"D3_1-rFrame"	6129	0.184358550157918	NA
"55"	"BC_13"	"D6_1-rFrame"	6065	0.0903996065045982	NA
"56"	"Biotech_129"	"D3_1-rFrame"	6060	0.199703410776075	NA
"57"	"CD1120"	"D3_1-rFrame"	5994	0.186659192825112	NA
"58"	"Biotech_045"	"D3_1-rFrame"	5974	0.180843978930799	NA
"59"	"CD1113"	"D6_2-rFrame"	5932	0.0997930790841647	NA
"60"	"Biotech_090"	"D3_1-rFrame"	5930	0.176766924017051	NA
"61"	"CD1205"	"D6_2-rFrame"	5820	0.0978924528619246	NA
"62"	"CD1081"	"D3_1-rFrame"	5758	0.19267190898444	NA
"63"	"HC_23_BB"	"D2_0-rFrame"	5673	0.110172453973433	NA
"64"	"CD1169"	"D6_2-rFrame"	5651	0.0944036084196458	NA
"65"	"BC_16"	"D6_2-rFrame"	5587	0.111543683117713	NA
"66"	"HC_21_BB"	"D6_2-rFrame"	5581	0.0951479814511729	NA
"67"	"HC_09_BB"	"D3_1-rFrame"	5327	0.201102344369361	NA
"68"	"BC_14"	"D2_1-rFrame"	5267	0.0958629852756493	NA
"69"	"HC_10_BB"	"D6_2-rFrame"	5260	0.0988480258583429	NA
"70"	"CD1363_HC"	"D3_1-rFrame"	5237	0.1908527696793	NA
"71"	"Biotech_094"	"D3_1-rFrame"	5224	0.173163617077698	NA
"72"	"CD0844"	"D6_2-rFrame"	5213	0.102985045141153	NA
"73"	"HC_21_BB"	"D6_1-rFrame"	5150	0.0878000545553737	NA
"74"	"CD1169"	"D2_1-rFrame"	5047	0.0843133979284998	NA
"75"	"CD1205"	"D2_1-rFrame"	5042	0.0848064857955023	NA
"76"	"Biotech_092"	"D2_1-rFrame"	4994	0.113163082640321	NA
"77"	"HC_36_BB"	"D3_1-rFrame"	4926	0.194534396967064	NA
"78"	"BC_16"	"D6_1-rFrame"	4905	0.0979276473406804	NA
"79"	"CD1208"	"D6_2-rFrame"	4905	0.106732526764731	NA
"80"	"HC_21_BB"	"D3_0-rFrame"	4878	0.0831628477905074	NA
"81"	"BC_13"	"D2_1-rFrame"	4877	0.0726923134250496	NA
"82"	"BC_14"	"D6_2-rFrame"	4851	0.0882915021021786	NA
"83"	"CD1113"	"D6_1-rFrame"	4844	0.0814898305940144	NA
"84"	"BC_13"	"D3_0-rFrame"	4839	0.0721259185285657	NA
"85"	"CD1169"	"D3_0-rFrame"	4757	0.0794687604410291	NA
"86"	"HC_15_BB"	"D3_1-rFrame"	4755	0.19833986819054	NA
"87"	"HC_21_BB"	"D3_2-rFrame"	4747	0.0809294871794872	NA
"88"	"CD1205"	"D3_0-rFrame"	4740	0.0797268430524952	NA
"89"	"HC_23_BB"	"D6_2-rFrame"	4720	0.0916647246174163	NA
"90"	"BC_18"	"D2_1-rFrame"	4706	0.0948293233385725	NA
"91"	"CD1205"	"D6_1-rFrame"	4701	0.0790708626982659	NA
"92"	"Biotech_110"	"D3_1-rFrame"	4628	0.189013681846028	NA
"93"	"CD1169"	"D6_1-rFrame"	4599	0.0768292682926829	NA
