"SAMPLE"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"	"SUBJECTn"
"1"	"HC_23_BB"	"D2-2_24-DseqL"	972	0.0188767187135866	NA
"2"	"HC_23_BB"	"D2-2_25-DseqL"	855	0.0166045210906549	NA
"3"	"BC_14"	"D4-17_13-DseqL"	762	0.0138689186975593	NA
"4"	"HC_23_BB"	"D2-2_23-DseqL"	748	0.01452652839276	NA
"5"	"HC_23_BB"	"D2-2_22-DseqL"	735	0.0142740619902121	NA
"6"	"CD1169"	"D4-17_13-DseqL"	722	0.0120614767791514	NA
"7"	"BC_13"	"D6-19_14-DseqL"	714	0.010642262002355	NA
"8"	"HC_21_BB"	"D6-13_14-DseqL"	696	0.0118657937806874	NA
"9"	"HC_23_BB"	"D2-2_21-DseqL"	692	0.0134389808125534	NA
"10"	"CD1205"	"D4-17_13-DseqL"	657	0.0110507459674028	NA
"11"	"BC_13"	"D1-26_12-DseqL"	647	0.0096436183690808	NA
"12"	"BC_13"	"D4-17_13-DseqL"	642	0.00956909272480661	NA
"13"	"BC_13"	"D6-19_11-DseqL"	636	0.00947966195167757	NA
"14"	"BC_13"	"D6-19_13-DseqL"	635	0.00946475682282273	NA
"15"	"HC_21_BB"	"D6-13_11-DseqL"	612	0.0104337152209493	NA
"16"	"HC_21_BB"	"D6-13_13-DseqL"	600	0.0102291325695581	NA
"17"	"BC_13"	"D6-19_12-DseqL"	590	0.00879402602435498	NA
"18"	"BC_14"	"D4-17_12-DseqL"	587	0.0106837995741041	NA
"19"	"BC_18"	"D4-17_13-DseqL"	586	0.0118083262805787	NA
"20"	"CD1110"	"D3-10_18-DseqL"	580	0.0106812029244397	NA
"21"	"BC_13"	"D6-13_14-DseqL"	574	0.00855554396267756	NA
"22"	"HC_21_BB"	"D6-13_12-DseqL"	572	0.00975177304964539	NA
"23"	"BC_13"	"D6-13_12-DseqL"	568	0.00846611318954852	NA
"24"	"HC_23_BB"	"D2-2_26-DseqL"	567	0.0110114192495922	NA
"25"	"HC_21_BB"	"D3-10_19-DseqL"	564	0.00961538461538462	NA
"26"	"HC_21_BB"	"D3-10_18-DseqL"	563	0.00959833606110202	NA
"27"	"CD1169"	"D6-19_14-DseqL"	561	0.00937186769127965	NA
"28"	"CD1205"	"D6-13_14-DseqL"	561	0.00943602509545355	NA
"29"	"CD1169"	"D4-17_12-DseqL"	559	0.00933845639826261	NA
"30"	"CD1205"	"D6-19_14-DseqL"	558	0.00938556506820514	NA
"31"	"BC_13"	"D6-19_15-DseqL"	557	0.0083021567721453	NA
"32"	"CD0497"	"D6-13_11-DseqL"	557	0.0137758761407761	NA
"33"	"HC_21_BB"	"D3-10_17-DseqL"	557	0.00949604473540644	NA
"34"	"BC_14"	"D4-17_10-DseqL"	555	0.0101013777915294	NA
"35"	"CD1113"	"D1-26_12-DseqL"	549	0.00923573843850411	NA
"36"	"BC_16"	"D6-19_14-DseqL"	544	0.0108608848426769	NA
"37"	"CD1110"	"D4-17_13-DseqL"	542	0.00998139997421779	NA
"38"	"CD1202"	"D3-10_19-DseqL"	542	0.0116077356348917	NA
"39"	"BC_13"	"D3-16_6-DseqL"	539	0.00803386445275819	NA
"40"	"CD1208"	"D6-19_14-DseqL"	539	0.0117286099747585	NA
"41"	"CD1110"	"D3-10_19-DseqL"	538	0.00990773650577337	NA
"42"	"CD1113"	"D6-19_11-DseqL"	538	0.00905068721296031	NA
"43"	"BC_13"	"D1-26_11-DseqL"	537	0.00800405419504852	NA
"44"	"BC_13"	"D4-17_12-DseqL"	537	0.00800405419504852	NA
"45"	"HC_21_BB"	"D3-10_16-DseqL"	534	0.00910392798690671	NA
"46"	"CD1205"	"D6-19_13-DseqL"	533	0.00896506484113501	NA
"47"	"BC_13"	"D6-13_15-DseqL"	532	0.00792952855077432	NA
"48"	"CD1205"	"D4-17_12-DseqL"	531	0.0089314248229694	NA
"49"	"CD1110"	"D3-10_20-DseqL"	530	0.00976040956888455	NA
"50"	"CD1113"	"D6-19_14-DseqL"	530	0.00891610450347392	NA
"51"	"BC_11"	"D1-26_12-DseqL"	529	0.0104213864975079	NA
"52"	"CD1205"	"D4-17_10-DseqL"	529	0.0088977848048038	NA
"53"	"CD1169"	"D4-17_11-DseqL"	528	0.0088205813564985	NA
"54"	"BC_16"	"D6-19_11-DseqL"	525	0.0104815524676569	NA
"55"	"CD1202"	"D3-10_18-DseqL"	521	0.0111579894202557	NA
"56"	"CD1113"	"D4-17_13-DseqL"	520	0.00874787611661592	NA
