"SAMPLE"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"	"SUBJECTn"
"1"	"BC_13"	"1-rFrame"	30763	0.458526478961411	NA
"2"	"CD1169"	"1-rFrame"	28516	0.476378215836953	NA
"3"	"CD1205"	"1-rFrame"	28039	0.471616234672767	NA
"4"	"CD1113"	"1-rFrame"	27120	0.456235385158892	NA
"5"	"BC_14"	"1-rFrame"	26462	0.48162641282784	NA
"6"	"HC_21_BB"	"1-rFrame"	26145	0.445734451718494	NA
"7"	"CD1110"	"1-rFrame"	25603	0.471501445645568	NA
"8"	"HC_10_BB"	"1-rFrame"	24215	0.45505797455509	NA
"9"	"BC_18"	"1-rFrame"	23463	0.472796517954298	NA
"10"	"BC_11"	"1-rFrame"	23138	0.455822383325782	NA
"11"	"HC_23_BB"	"1-rFrame"	22919	0.445098267692069	NA
"12"	"BC_16"	"1-rFrame"	22570	0.450606931800032	NA
"13"	"CD0844"	"1-rFrame"	22318	0.440901637724965	NA
"14"	"HC_20_BB"	"1-rFrame"	21928	0.476799304196564	NA
"15"	"CD1208"	"1-rFrame"	21452	0.466794325006528	NA
"16"	"CD1202"	"1-rFrame"	21233	0.454736255969846	NA
"17"	"Biotech_092"	"1-rFrame"	20090	0.455235548707258	NA
"18"	"Biotech_065"	"1-rFrame"	19931	0.455076831746467	NA
"19"	"BC_13"	"0-rFrame"	19382	0.288891207464489	NA
"20"	"CD1086"	"1-rFrame"	19159	0.46440431462853	NA
"21"	"HC_24_BB"	"1-rFrame"	18954	0.44276770697066	NA
"22"	"Biotech_108"	"1-rFrame"	18830	0.453866178172002	NA
"23"	"Biotech_086"	"1-rFrame"	18812	0.449510155316607	NA
"24"	"CD0497"	"1-rFrame"	18710	0.462740830509732	NA
"25"	"CD1368"	"1-rFrame"	18630	0.447954988097814	NA
"26"	"Biotech_097"	"1-rFrame"	18532	0.455264580160173	NA
"27"	"HC_11_BB"	"1-rFrame"	18426	0.465997319238259	NA
"28"	"BC_17"	"1-rFrame"	18231	0.445321087471604	NA
"29"	"CD1362_HC"	"1-rFrame"	18209	0.423642454981155	NA
"30"	"CD1071"	"1-rFrame"	18092	0.447168738723152	NA
"31"	"HC_35_BB"	"1-rFrame"	18073	0.470136829509391	NA
"32"	"BC_12"	"1-rFrame"	18055	0.460469268043866	NA
"33"	"Biotech_107"	"1-rFrame"	17864	0.447125372312467	NA
"34"	"CD1212"	"1-rFrame"	17826	0.46794770830052	NA
"35"	"Biotech_050"	"1-rFrame"	17443	0.461101271511274	NA
"36"	"CD1125"	"1-rFrame"	17437	0.455000913289669	NA
"37"	"BC_10"	"1-rFrame"	17205	0.450416252159799	NA
"38"	"CD1129"	"1-rFrame"	17194	0.439879246827671	NA
"39"	"CD1076"	"1-rFrame"	17055	0.455687070831218	NA
"40"	"BC_13"	"2-rFrame"	16946	0.252582313574101	NA
"41"	"CD1127"	"1-rFrame"	16934	0.448903851761525	NA
"42"	"CD1211"	"1-rFrame"	16896	0.442292086594592	NA
"43"	"CD1113"	"0-rFrame"	16824	0.283027438049897	NA
"44"	"HC_21_BB"	"0-rFrame"	16716	0.284983633387889	NA
"45"	"CD1169"	"0-rFrame"	16637	0.277931840962245	NA
"46"	"CD1205"	"0-rFrame"	16503	0.277580609893529	NA
"47"	"HC_14_BB"	"1-rFrame"	16437	0.450476869107652	NA
"48"	"Biotech_067"	"1-rFrame"	16150	0.45578980046849	NA
"49"	"HC_16_BB"	"1-rFrame"	16015	0.446560521986448	NA
"50"	"CD1115"	"1-rFrame"	15900	0.478411313374455	NA
"51"	"Biotech_064"	"1-rFrame"	15871	0.472576226774655	NA
"52"	"HC_21_BB"	"2-rFrame"	15795	0.269281914893617	NA
"53"	"BC_14"	"0-rFrame"	15650	0.284840653040424	NA
"54"	"CD1113"	"2-rFrame"	15499	0.260737176791212	NA
"55"	"HC_23_BB"	"0-rFrame"	15445	0.29994950671949	NA
"56"	"Biotech_111"	"1-rFrame"	15250	0.458715596330275	NA
"57"	"Biotech_090"	"1-rFrame"	15209	0.453363937162787	NA
"58"	"CD1110"	"0-rFrame"	15186	0.279663357949209	NA
"59"	"HC_10_BB"	"0-rFrame"	15132	0.284366602146092	NA
"60"	"Biotech_087"	"1-rFrame"	15105	0.443820884997356	NA
"61"	"Biotech_045"	"1-rFrame"	15081	0.45652963613247	NA
"62"	"BC_11"	"0-rFrame"	15042	0.296329859537834	NA
"63"	"CD1205"	"2-rFrame"	14911	0.250803155433704	NA
"64"	"CD1169"	"2-rFrame"	14707	0.245689943200802	NA
"65"	"CD0844"	"0-rFrame"	14683	0.290068946443035	NA
"66"	"HC_22_BB"	"1-rFrame"	14644	0.45499456268448	NA
"67"	"Biotech_089"	"1-rFrame"	14634	0.465176896913443	NA
"68"	"HC_31_BB"	"1-rFrame"	14561	0.476675287262252	NA
"69"	"BC_18"	"0-rFrame"	14446	0.291097408616451	NA
"70"	"BC_16"	"0-rFrame"	14408	0.287653729436192	NA
"71"	"CD1120"	"1-rFrame"	14343	0.446655455904335	NA
"72"	"Biotech_081"	"1-rFrame"	14106	0.458940655908381	NA
"73"	"CD1081"	"1-rFrame"	13873	0.464212815793877	NA
"74"	"HC_10_BB"	"2-rFrame"	13866	0.260575423298818	NA
"75"	"Biotech_129"	"1-rFrame"	13836	0.455956500247158	NA
"76"	"Biotech_094"	"1-rFrame"	13807	0.457670379209759	NA
"77"	"Biotech_092"	"0-rFrame"	13649	0.3092837234597	NA
"78"	"Biotech_096"	"1-rFrame"	13637	0.469868724804465	NA
"79"	"CD1362_HC"	"0-rFrame"	13631	0.317132753245545	NA
"80"	"CD0844"	"2-rFrame"	13618	0.269029415832	NA
"81"	"CD1110"	"2-rFrame"	13512	0.248835196405223	NA
"82"	"CD1202"	"0-rFrame"	13448	0.288008909258347	NA
"83"	"HC_20_BB"	"0-rFrame"	13353	0.290345727332029	NA
"84"	"HC_23_BB"	"2-rFrame"	13128	0.254952225588441	NA
"85"	"BC_16"	"2-rFrame"	13110	0.261739338763776	NA
"86"	"BC_14"	"2-rFrame"	12831	0.233532934131737	NA
"87"	"Biotech_065"	"0-rFrame"	12810	0.292485786697719	NA
"88"	"CD1208"	"0-rFrame"	12786	0.278222647750022	NA
"89"	"Biotech_100"	"1-rFrame"	12785	0.437872457017604	NA
"90"	"Biotech_108"	"0-rFrame"	12694	0.305967990744312	NA
"91"	"BC_11"	"2-rFrame"	12581	0.247847757136384	NA
"92"	"HC_24_BB"	"0-rFrame"	12581	0.293893664735563	NA
"93"	"HC_09_BB"	"1-rFrame"	12409	0.46845860545887	NA
"94"	"CD1363_HC"	"1-rFrame"	12376	0.451020408163265	NA
"95"	"Biotech_086"	"0-rFrame"	12214	0.291851851851852	NA
"96"	"CD1071"	"0-rFrame"	12184	0.301144368372921	NA
"97"	"CD1202"	"2-rFrame"	12012	0.257254834771807	NA
"98"	"CD1368"	"0-rFrame"	11919	0.286590204140518	NA
"99"	"Biotech_097"	"0-rFrame"	11828	0.290571414533484	NA
"100"	"BC_12"	"0-rFrame"	11815	0.301326192297883	NA
"101"	"BC_17"	"0-rFrame"	11798	0.288184860402062	NA
"102"	"CD1208"	"2-rFrame"	11718	0.25498302724345	NA
"103"	"BC_18"	"2-rFrame"	11717	0.236106073429251	NA
"104"	"HC_36_BB"	"1-rFrame"	11438	0.451702077245083	NA
"105"	"CD1086"	"0-rFrame"	11427	0.276984607926312	NA
"106"	"CD1129"	"0-rFrame"	11318	0.289551780597626	NA
"107"	"Biotech_110"	"1-rFrame"	11286	0.460935266489688	NA
"108"	"HC_24_BB"	"2-rFrame"	11273	0.263338628293777	NA
