"SAMPLE"	"FUNCTIONAL"	"SEQ_COUNT"	"SEQ_FREQ"
"BC_13"	"TRUE"	68766	0.999883676970948
"CD1169"	"TRUE"	61167	0.999803854263718
"CD1205"	"TRUE"	60784	0.99976972926741
"CD1113"	"TRUE"	60599	0.996530175957902
"HC_21_BB"	"TRUE"	59995	0.999900001666639
"BC_14"	"TRUE"	56214	0.999768794351468
"CD1110"	"TRUE"	55485	0.999711716906002
"HC_10_BB"	"TRUE"	54492	0.999853211009174
"HC_23_BB"	"TRUE"	52477	0.996714150047483
"BC_11"	"TRUE"	51933	0.999807481277554
"CD0844"	"TRUE"	51915	0.999865182388968
"BC_16"	"TRUE"	51628	0.999748262039852
"BC_18"	"TRUE"	50791	0.999822834645669
"CD1202"	"TRUE"	47654	0.999727274634443
"HC_20_BB"	"TRUE"	47097	0.999851392663043
"CD1208"	"TRUE"	46988	0.999744680851064
"Biotech_092"	"TRUE"	45844	0.999672910442879
"Biotech_065"	"TRUE"	44948	0.999666392367057
"CD1362_HC"	"TRUE"	44145	0.999637689363918
"HC_24_BB"	"TRUE"	43705	0.996420591856277
"Biotech_086"	"TRUE"	42786	0.999719613066031
"Biotech_108"	"TRUE"	42633	0.999788940481216
"CD1368"	"TRUE"	42513	0.99983537158984
"CD1086"	"TRUE"	42240	0.999881642797964
"BC_17"	"TRUE"	42086	0.999904965550012
"Biotech_097"	"TRUE"	41705	0.999808213266847
"CD0497"	"TRUE"	41561	0.996810092579268
"CD1071"	"TRUE"	41469	0.999807122019432
"Biotech_107"	"TRUE"	40961	0.999853540654673
"HC_11_BB"	"TRUE"	40546	0.999728776783293
"CD1129"	"TRUE"	40124	0.999850485920758
"BC_12"	"TRUE"	40099	0.996917186684235
"HC_35_BB"	"TRUE"	39489	0.999822766862467
"CD1211"	"TRUE"	39417	0.994650382295794
"CD1125"	"TRUE"	39284	0.99561548014294
"BC_10"	"TRUE"	39222	0.999796074432832
"Biotech_050"	"TRUE"	38973	0.999589627843751
"CD1127"	"TRUE"	38820	0.999922726218994
"CD1212"	"TRUE"	38756	0.999896800825593
"CD1076"	"TRUE"	38437	0.999765905425792
"HC_14_BB"	"TRUE"	37399	0.999866324457277
"HC_16_BB"	"TRUE"	36689	0.999673033432331
"Biotech_067"	"TRUE"	36205	0.999503078154764
"Biotech_087"	"TRUE"	35163	0.999744114636643
"Biotech_090"	"TRUE"	34312	0.99648592919583
"Biotech_064"	"TRUE"	34305	0.999737716383983
"Biotech_111"	"TRUE"	34050	0.999765106582888
"CD1115"	"TRUE"	34032	0.999823726423409
"Biotech_045"	"TRUE"	33927	0.999616971125516
"HC_22_BB"	"TRUE"	33075	0.999727965179543
"CD1120"	"TRUE"	32837	0.996752064108791
"Biotech_089"	"TRUE"	32111	0.997979860765788
"Biotech_081"	"TRUE"	31489	0.999682529604114
"HC_31_BB"	"TRUE"	31398	0.999745271604152
"Biotech_129"	"TRUE"	31004	0.999871001031992
"Biotech_094"	"TRUE"	30894	0.999514704455013
"CD1081"	"TRUE"	30464	0.99986871471708
"Biotech_100"	"TRUE"	29839	0.999731966361778
"Biotech_096"	"TRUE"	29583	0.999662082249181
"CD1363_HC"	"TRUE"	28101	0.999750960580618
"HC_09_BB"	"TRUE"	27043	0.999963023221417
"HC_36_BB"	"TRUE"	25912	0.999807076436316
"Biotech_110"	"TRUE"	25222	0.999762169018551
"HC_15_BB"	"TRUE"	24436	0.996249184605349
"CD1268"	"TRUE"	21847	0.999862700228833
"Biotech_083"	"TRUE"	21164	0.996421845574388
"Biotech_121"	"TRUE"	20577	0.999611367500607
"HC_12_BB"	"TRUE"	20305	0.99995075347188
"HC_13_BB"	"TRUE"	20179	0.999801813407323
"Biotech_078"	"TRUE"	18011	0.999722468916519
"CD1149"	"TRUE"	16494	0.999454644610071
"Biotech_105"	"TRUE"	16387	0.9972007545792
"HC_33_BB"	"TRUE"	15578	0.99987163029525
"HC_32_BB"	"TRUE"	15364	0.999869842509436
"Biotech_115"	"TRUE"	14527	0.999449604403165
"Biotech_131"	"TRUE"	13921	0.999640959356599
"Biotech_091"	"TRUE"	13498	0.999925920438551
"HC_38_BB"	"TRUE"	13165	0.999924046787179
"Biotech_080"	"TRUE"	12689	0.99976363063347
"HC_30_BB"	"TRUE"	11840	0.999831109609863
"CD0838"	"TRUE"	11753	0.999914922579547
"Biotech_106"	"TRUE"	9893	0.986931364724661
"Biotech_103"	"TRUE"	8975	0.999220663549321
"CD1096"	"TRUE"	8929	0.999552222097839
"CD1187"	"TRUE"	8860	0.999774317309862
"Biotech_120"	"TRUE"	7546	1
"Biotech_132"	"TRUE"	7477	0.99973258457013
"Biotech_075"	"TRUE"	7466	0.999866077407259
"Biotech_072"	"TRUE"	7124	0.999719337636823
"Biotech_101"	"TRUE"	6767	0.999852245862884
"Biotech_079"	"TRUE"	6565	0.982784431137725
"Biotech_093"	"TRUE"	4641	0.99978457561396
"Biotech_127"	"TRUE"	3848	0.998443175921121
"Biotech_085"	"TRUE"	2912	0.999313658201785
"HC_37_BB"	"TRUE"	2569	0.999610894941634
"Biotech_099"	"TRUE"	2299	1
"CD1114"	"TRUE"	1656	0.99939649969825
"HC_34_BB"	"TRUE"	1633	1
