"SUBJECTN"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"
"BC_13-Healthy#NA"	"IGM"	57334	0.833658068456103
"CD1169-Celiac#FALSE"	"IGM"	52053	0.850831167557495
"CD1205-Celiac#FALSE"	"IGM"	51880	0.853317543340241
"CD1113-Celiac#FALSE"	"IGM"	49307	0.810837033382667
"HC_21_BB-Healthy#NA"	"IGM"	48906	0.815086415226413
"CD1110-Celiac#FALSE"	"IGM"	47683	0.859137673195078
"HC_10_BB-Healthy#NA"	"IGM"	43380	0.795963302752294
"BC_11-Healthy#NA"	"IGM"	42730	0.822632501010723
"HC_23_BB-Healthy#NA"	"IGM"	42628	0.809648622981956
"CD0844-Celiac#FALSE"	"IGM"	41292	0.795269827818651
"BC_16-Healthy#NA"	"IGM"	41016	0.794252628725238
"BC_14-Healthy#NA"	"IGM"	40895	0.72731961513152
"CD1202-Celiac#FALSE"	"IGM"	40013	0.839427696309816
"BC_18-Healthy#NA"	"IGM"	38385	0.755610236220472
"HC_20_BB-Healthy#NA"	"IGM"	37380	0.793563179347826
"Biotech_065-Celiac#M"	"IGM"	36984	0.822542979783377
"CD1368-Celiac#NA"	"IGM"	36561	0.859854186265287
"CD1362_HC-Healthy#NA"	"IGM"	36386	0.823939675279092
"Biotech_092-Celiac#FALSE"	"IGM"	36317	0.79192742973026
"HC_24_BB-Healthy#NA"	"IGM"	36146	0.824084629063882
"CD0497-Celiac#FALSE"	"IGM"	35408	0.849234901904351
"CD1086-Celiac#M"	"IGM"	35017	0.828902828737129
"Biotech_097-Celiac#FALSE"	"IGM"	34554	0.828374847169947
"CD1208-Celiac#FALSE"	"IGM"	34309	0.729978723404255
"CD1071-Celiac#FALSE"	"IGM"	33990	0.81949031993635
"CD1129-Celiac#M"	"IGM"	33134	0.825666583603289
"BC_17-Healthy#NA"	"IGM"	33094	0.786267521976717
"CD1211-Celiac#M"	"IGM"	32644	0.823740190264705
"CD1125-Celiac#FALSE"	"IGM"	32577	0.825632967534278
"BC_12-Healthy#NA"	"IGM"	32495	0.807871118514283
"CD1076-Celiac#M"	"IGM"	32080	0.834417104510222
"Biotech_107-Healthy#FALSE"	"IGM"	31852	0.777503844557815
"HC_11_BB-Healthy#NA"	"IGM"	31580	0.778657198510738
"Biotech_086-Healthy#FALSE"	"IGM"	31334	0.7321370157484
"Biotech_050-Healthy#M"	"IGM"	30867	0.791684834184001
"CD1212-Celiac#M"	"IGM"	30604	0.789576883384933
"CD1127-Celiac#M"	"IGM"	30535	0.786518301007135
"HC_35_BB-Healthy#NA"	"IGM"	30221	0.765166092768888
"Biotech_067-Celiac#FALSE"	"IGM"	30220	0.834276564613643
"BC_10-Healthy#NA"	"IGM"	29497	0.751899056844252
"HC_14_BB-Healthy#NA"	"IGM"	29413	0.786359747620575
"HC_16_BB-Healthy#NA"	"IGM"	28731	0.782839704640201
"Biotech_108-Healthy#M"	"IGM"	27512	0.645185497865954
"CD1115-Celiac#M"	"IGM"	27434	0.805981550032317
"Biotech_045-Healthy#M"	"IGM"	27332	0.80530347672363
"Biotech_111-Celiac#FALSE"	"IGM"	27281	0.801015914029009
"Biotech_087-Celiac#FALSE"	"IGM"	26934	0.765779597407028
"Biotech_081-Celiac#FALSE"	"IGM"	26348	0.836470999079336
"Biotech_090-Celiac#FALSE"	"IGM"	25195	0.731710858769204
"Biotech_064-Celiac#FALSE"	"IGM"	25179	0.733782129742962
"CD1081-Celiac#FALSE"	"IGM"	24961	0.819252986740186
"HC_22_BB-Healthy#NA"	"IGM"	24905	0.752780800386894
"Biotech_096-Celiac#FALSE"	"IGM"	24353	0.822931098570608
"HC_31_BB-Healthy#NA"	"IGM"	24189	0.770203145895689
"CD1120-Celiac#FALSE"	"IGM"	24133	0.73254613890238
"Biotech_129-Celiac#FALSE"	"IGM"	23869	0.769769091847265
"CD1363_HC-Healthy#NA"	"IGM"	22932	0.815853137896684
"Biotech_089-Healthy#FALSE"	"IGM"	22383	0.695642715067131
"HC_09_BB-Healthy#NA"	"IGM"	22103	0.817297737021151
"HC_15_BB-Healthy#NA"	"IGM"	21175	0.863299086757991
"HC_36_BB-Healthy#NA"	"IGM"	20000	0.771694254736274
"Biotech_110-Healthy#FALSE"	"IGM"	19923	0.789717773902014
"Biotech_094-Celiac#M"	"IGM"	18684	0.604484130835679
"Biotech_083-Celiac#FALSE"	"IGM"	17842	0.840018832391714
"Biotech_100-Celiac#FALSE"	"IGM"	17171	0.57530070023788
"CD1268-Celiac#NA"	"IGM"	16811	0.769382151029748
"Biotech_121-Healthy#FALSE"	"IGM"	16727	0.812581977167841
"HC_12_BB-Healthy#NA"	"IGM"	16591	0.817049148035064
"HC_13_BB-Healthy#NA"	"IGM"	15857	0.785661200019819
"BC_14-Healthy#NA"	"IGD"	15301	0.272129048321981
"Biotech_108-Healthy#M"	"IGD"	15113	0.35441583415412
"Biotech_078-Healthy#FALSE"	"IGM"	13686	0.759658081705151
"CD1149-Celiac#FALSE"	"IGM"	13106	0.794158637823426
"Biotech_105-Healthy#FALSE"	"IGM"	13013	0.791882188279681
"CD1208-Celiac#FALSE"	"IGD"	12683	0.269851063829787
"Biotech_100-Celiac#FALSE"	"IGD"	12650	0.4238281904379
"BC_18-Healthy#NA"	"IGD"	12415	0.244389763779528
"Biotech_094-Celiac#M"	"IGD"	12132	0.392507036785402
"CD1113-Celiac#FALSE"	"IGD"	11499	0.189097187962506
"Biotech_086-Healthy#FALSE"	"IGD"	11439	0.267278844805832
"BC_13-Healthy#NA"	"IGD"	11427	0.166152906621688
"HC_10_BB-Healthy#NA"	"IGD"	11093	0.20354128440367
"HC_21_BB-Healthy#NA"	"IGD"	11093	0.1848802519958
"Biotech_131-Celiac#FALSE"	"IGM"	10876	0.780985207525492
"HC_33_BB-Healthy#NA"	"IGM"	10813	0.69403080872914
"CD0844-Celiac#FALSE"	"IGD"	10623	0.204595354570317
"BC_16-Healthy#NA"	"IGD"	10606	0.205379446563777
"Biotech_115-Healthy#M"	"IGM"	10547	0.72562779497764
"HC_32_BB-Healthy#NA"	"IGM"	10072	0.655473122478199
"Biotech_091-Celiac#FALSE"	"IGM"	10034	0.743314319579228
"HC_23_BB-Healthy#NA"	"IGD"	10013	0.190180436847104
"Biotech_080-Celiac#FALSE"	"IGM"	10007	0.788449416955563
"HC_38_BB-Healthy#NA"	"IGM"	9944	0.755278748291053
"Biotech_089-Healthy#FALSE"	"IGD"	9768	0.303580308304326
"BC_10-Healthy#NA"	"IGD"	9728	0.247973489676268
"HC_20_BB-Healthy#NA"	"IGD"	9720	0.206351902173913
"CD0838-Celiac#FALSE"	"IGM"	9338	0.79445295218649
"BC_11-Healthy#NA"	"IGD"	9201	0.177136476522342
"Biotech_090-Celiac#FALSE"	"IGD"	9158	0.265965788632997
"Biotech_064-Celiac#FALSE"	"IGD"	9110	0.265489304656991
"CD1169-Celiac#FALSE"	"IGD"	9103	0.148792886447964
"Biotech_107-Healthy#FALSE"	"IGD"	9099	0.222105597187981
"HC_35_BB-Healthy#NA"	"IGD"	9086	0.230048612517723
"BC_17-Healthy#NA"	"IGD"	8992	0.213637443573295
"Biotech_092-Celiac#FALSE"	"IGD"	8987	0.195970256656272
"HC_11_BB-Healthy#NA"	"IGD"	8958	0.22087432502404
"CD1205-Celiac#FALSE"	"IGD"	8909	0.146534425474522
"CD1120-Celiac#FALSE"	"IGD"	8803	0.267211024769305
"CD1127-Celiac#M"	"IGD"	8286	0.213430183138861
"HC_30_BB-Healthy#NA"	"IGM"	8198	0.692281709170748
"HC_22_BB-Healthy#NA"	"IGD"	8162	0.246705356063354
"CD1212-Celiac#M"	"IGD"	8156	0.210423116615067
"Biotech_087-Celiac#FALSE"	"IGD"	8083	0.22981348800182
"Biotech_106-Celiac#FALSE"	"IGM"	8040	0.802075019952115
"HC_14_BB-Healthy#NA"	"IGD"	7985	0.213479841728157
"HC_16_BB-Healthy#NA"	"IGD"	7965	0.217024059289938
"Biotech_050-Healthy#M"	"IGD"	7903	0.202698196927338
"Biotech_065-Celiac#M"	"IGD"	7902	0.175744501034184
"CD1110-Celiac#FALSE"	"IGD"	7797	0.14048395524405
"BC_12-Healthy#NA"	"IGD"	7721	0.191954851701763
"HC_24_BB-Healthy#NA"	"IGD"	7716	0.175915370936118
"CD1362_HC-Healthy#NA"	"IGD"	7687	0.174067616222459
"CD1202-Celiac#FALSE"	"IGD"	7652	0.160530345941637
"CD1071-Celiac#FALSE"	"IGD"	7474	0.180196253345227
"CD1096-Celiac#FALSE"	"IGM"	7192	0.80510466808463
"HC_31_BB-Healthy#NA"	"IGD"	7155	0.22782270903649
"Biotech_129-Celiac#FALSE"	"IGD"	7134	0.230069659442724
"Biotech_097-Celiac#FALSE"	"IGD"	7117	0.170618272481001
"CD1086-Celiac#M"	"IGD"	7050	0.166883654870399
"CD1129-Celiac#M"	"IGD"	6990	0.174183902317468
"CD1211-Celiac#M"	"IGD"	6965	0.175755128819804
"CD1125-Celiac#FALSE"	"IGD"	6861	0.173885495602808
