"SAMPLE"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"	"SUBJECTn"
"BC_13"	"J4*02"	36449	0.52998226073807	NA
"CD1113"	"J4*02"	31319	0.515030422627857	NA
"CD1169"	"J4*02"	30609	0.500318736821458	NA
"HC_21_BB"	"J4*02"	30333	0.505541574307095	NA
"CD1205"	"J4*02"	30011	0.493618211125366	NA
"BC_11"	"J4*02"	27914	0.537396761835088	NA
"BC_16"	"J4*02"	26586	0.514823492961019	NA
"HC_10_BB"	"J4*02"	26398	0.484366972477064	NA
"CD1110"	"J4*02"	26071	0.469739283976865	NA
"BC_14"	"J4*02"	25869	0.460081455528483	NA
"CD1202"	"J4*02"	25532	0.535632617953721	NA
"CD0844"	"J4*02"	24870	0.478987712337737	NA
"BC_18"	"J4*02"	24844	0.489055118110236	NA
"HC_23_BB"	"J4*02"	24374	0.462943969610636	NA
"CD0497"	"J4*02"	23239	0.557370365040533	NA
"HC_20_BB"	"J4*02"	23069	0.48974609375	NA
"Biotech_065"	"J4*02"	22743	0.505815893067633	NA
"CD1208"	"J4*02"	22715	0.483297872340426	NA
"CD1362_HC"	"J4*02"	22441	0.508163311519214	NA
"CD1368"	"J4*02"	22282	0.524035747883349	NA
"Biotech_107"	"J4*02"	21805	0.532257670808212	NA
"Biotech_086"	"J4*02"	21745	0.508084489929436	NA
"CD1086"	"J4*02"	21507	0.509101668836549	NA
"Biotech_097"	"J4*02"	21111	0.506101215448421	NA
"CD1129"	"J4*02"	21096	0.525691502616496	NA
"CD1212"	"J4*02"	20507	0.529076367389061	NA
"Biotech_108"	"J4*02"	20379	0.477909103700577	NA
"BC_17"	"J4*02"	20278	0.481777144214778	NA
"CD1211"	"J4*02"	20113	0.507532362663706	NA
"HC_24_BB"	"J4*02"	20086	0.457936254616753	NA
"HC_14_BB"	"J4*02"	20084	0.536947920008555	NA
"CD1071"	"J4*02"	19986	0.481857414952865	NA
"CD1125"	"J4*02"	19797	0.501736067111032	NA
"BC_10"	"J4*02"	19753	0.503517716033648	NA
"Biotech_090"	"J4*02"	19710	0.572415996282636	NA
"HC_35_BB"	"J4*02"	19670	0.49802511646749	NA
"BC_12"	"J4*02"	19540	0.485791711210004	NA
"HC_11_BB"	"J4*02"	19259	0.474862539142441	NA
"Biotech_092"	"J4*02"	19106	0.416624871889923	NA
"HC_16_BB"	"J4*02"	18328	0.499386937685622	NA
"CD1076"	"J4*02"	18302	0.47604432190605	NA
"Biotech_087"	"J4*02"	18234	0.51842374616172	NA
"Biotech_067"	"J4*02"	18211	0.50274687353339	NA
"Biotech_050"	"J4*02"	17576	0.450793813639745	NA
"CD1127"	"J4*02"	17294	0.445457589573191	NA
"Biotech_111"	"J4*02"	16965	0.498120852663104	NA
"Biotech_045"	"J4*02"	16688	0.491691219799646	NA
"Biotech_064"	"J4*02"	16348	0.476423617182491	NA
"Biotech_094"	"J4*02"	16286	0.52690154971044	NA
"HC_22_BB"	"J4*02"	16229	0.490539233466328	NA
"Biotech_081"	"J4*02"	15983	0.507412933743928	NA
"CD1115"	"J4*02"	15924	0.467830072272166	NA
"CD1120"	"J4*02"	15847	0.481028411850413	NA
"Biotech_089"	"J4*02"	15832	0.49204375932372	NA
"Biotech_096"	"J4*02"	15656	0.529044030682932	NA
"Biotech_129"	"J4*02"	15585	0.502612229102167	NA
"HC_31_BB"	"J4*02"	15583	0.496179074062281	NA
"Biotech_100"	"J4*02"	14816	0.496398297986397	NA
