	SUBJECTN	J1*01	J2*01	J3*02	J4*02	J5*02	J6*02	J6*03	J6*04
47	BC_10	0.0104766760132552	0.0200101962783584	0.0991333163395361	0.5035177160336479	0.12898292123375		0.237879174101453	
7	BC_11	0.0148431935005679	0.0245461371118341	0.12403981287180198	0.537396761835088	0.10779123269738	0.19138286198332802		
57	BC_12	0.0091738557541705	0.0230962384705268	0.0885314372374015	0.4857917112100039	0.146806553464436	0.24660020386346101		
2	BC_13	0.0126355890307384	0.0279029865937709	0.11483991043126801	0.52998226073807	0.125032715851921	0.189606537354233		
10	BC_14	0.0129119462180091	0.0270154907784516	0.116918917957565	0.46008145552848295	0.12147189072865301	0.261600298788838		
5	BC_16	0.0161886872833601	0.0330744950717453	0.12317732034623699	0.5148234929610189	0.10824732286361599	0.20448868147402302		
36	BC_17	0.011784271798527	0.0215965787598004	0.17108576859111402	0.48177714421477796	0.128534093608933		0.18522214302684697	
14	BC_18	0.0132874015748032	0.0256692913385827	0.10431102362204699	0.489055118110236	0.13438976377952802	0.233287401574803		
33	Biotech_045	0.015144372421921	0.0309664113140837	0.112227460223925	0.491691219799646	0.12737183264584598	0.22259870359457898		
53	Biotech_050	0.0100541178281054	0.0256995562851061	0.126753699761471	0.45079381363974497	0.12872861576341998	0.15242760778681197	0.10554258893534099	
49	Biotech_064	0.0117153348487498	0.0243340910415574	0.11840648131957801	0.47642361718249104	0.133939499912572	0.235180975695052		
31	Biotech_065	0.0115428240998154	0.0233970153237106	0.141516357894269	0.505815893067633	0.115962013210862	0.12619264728777	0.0755732491159398	
20	Biotech_067	0.0162603870469039	0.0371863180851945	0.15269304033349	0.50274687353339	0.10780443364713001	0.18330894735389103		
89	Biotech_072	0.0130507998877351	0.0322761717653663	0.115913555992141	0.48835251192815005	0.10580971091776598	0.244597249508841		
84	Biotech_075	0.0168742466854158	0.0246417570644168	0.16780500870496898	0.50770054908263	0.110887906789875	0.108209454935048	0.0638810767376456	
69	Biotech_078	0.013154973357016002	0.0303063943161634	0.123112788632327	0.47685390763765506	0.11295515097690899	0.24361678507992898		
87	Biotech_079	0.0151197604790419	0.0270958083832335	0.16062874251497	0.504491017964072	0.110778443113772		0.18188622754491002	
71	Biotech_080	0.018515600378191	0.0356917743460448	0.138591238575481	0.520012606366215	0.0974629687992436	0.189725811534825		
24	Biotech_081	0.0174608717737071	0.033715356043049	0.14854439823486498	0.507412933743928	0.0973999174576971	0.195466522746754		
65	Biotech_083	0.0128060263653484	0.0261299435028249	0.112900188323917	0.479519774011299	0.11275894538606401	0.255885122410546		
93	Biotech_085	0.0150995195607412	0.0236787920384351	0.10981468771448198	0.5549073438572409	0.10089224433767999	0.19560741249142102		
27	Biotech_086	0.0123370250946306	0.023879620543016004	0.127739614000654	0.508084489929436	0.12949203233796	0.123440347679798	0.0750268704145054	
