"SAMPLE"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"
"BC_16"	"V3-23_J4*02"	5073	0.0982358978331171
"BC_11"	"V3-23_J4*02"	4785	0.0921202086902951
"BC_13"	"V3-23_J4*02"	4710	0.0684851833541745
"HC_21_BB"	"V3-23_J4*02"	4517	0.0752820786320228
"CD1208"	"V3-23_J4*02"	4463	0.0949574468085106
"CD0497"	"V3-23_J4*02"	4092	0.0981436177867319
"CD1113"	"V3-23_J4*02"	3773	0.0620457161651044
"BC_14"	"V3-23_J4*02"	3647	0.0648620769381258
"BC_10"	"V3-23_J4*02"	3484	0.0888095845016569
"Biotech_107"	"V3-23_J4*02"	3470	0.0847023213806234
"Biotech_092"	"V3-23_J4*02"	3454	0.075317822019669
"BC_13"	"V4-34_J4*02"	3205	0.0466019135138279
"Biotech_097"	"V3-23_J4*02"	3183	0.0763071464531441
"Biotech_065"	"V3-23_J4*02"	3116	0.0693014256166181
"CD1169"	"V3-23_J4*02"	3116	0.0509325095212409
"CD1212"	"V3-23_J4*02"	3071	0.0792311661506708
"BC_13"	"V4-39_J4*02"	3002	0.0436502166516416
"Biotech_067"	"V3-23_J4*02"	2987	0.0824614195400712
"HC_35_BB"	"V3-23_J4*02"	2950	0.0746911079602998
"BC_18"	"V1-69_J4*02"	2942	0.0579133858267717
"CD1202"	"V3-23_J4*02"	2941	0.0616988692386767
"CD1129"	"V4-34_J4*02"	2920	0.0727635185646648
"BC_18"	"V3-23_J4*02"	2900	0.0570866141732283
"CD1205"	"V3-23_J4*02"	2898	0.0476660416461068
"CD1120"	"V3-23_J4*02"	2876	0.0872996600291404
"CD0844"	"V3-23_J4*02"	2843	0.0547552097376834
"Biotech_129"	"V3-23_J4*02"	2752	0.0887512899896801
"Biotech_094"	"V3-23_J4*02"	2721	0.0880326118606231
"CD1363_HC"	"V3-23_J4*02"	2687	0.095595559982923
"HC_11_BB"	"V3-23_J4*02"	2670	0.0658332716916932
"Biotech_086"	"V3-23_J4*02"	2657	0.0620823402962755
"CD1086"	"V3-23_J4*02"	2643	0.0625636169960942
"BC_16"	"V4-34_J4*02"	2582	0.0499990317770764
"HC_14_BB"	"V3-23_J4*02"	2557	0.0683616725483905
"CD1202"	"V4-34_J4*02"	2545	0.0533912350263285
"CD1113"	"V4-34_J4*02"	2533	0.0416543331688867
"BC_18"	"V1-69_J6*02"	2529	0.0497834645669291
"CD1211"	"V3-23_J4*02"	2514	0.0634383910772414
"CD1110"	"V1-69_J4*02"	2510	0.0452244103709843
"Biotech_090"	"V3-23_J4*02"	2482	0.0720820143467023
"BC_14"	"V1-69_J6*02"	2471	0.0439468582709375
"Biotech_087"	"V3-23_J4*02"	2460	0.069941999317639
"BC_12"	"V4-34_J4*02"	2451	0.0609352857817667
"BC_17"	"V3-23_J4*02"	2446	0.0581135661677358
"CD0497"	"V4-34_J4*02"	2424	0.0581378615628148
"HC_16_BB"	"V3-23_J4*02"	2420	0.0659382578131386
"BC_13"	"V1-69_J4*02"	2406	0.0349841509872917
"Biotech_111"	"V3-23_J4*02"	2406	0.0706441951964296
"Biotech_086"	"V4-34_J4*02"	2374	0.0554698817701762
"HC_24_BB"	"V3-23_J4*02"	2374	0.0541242989375769
"Biotech_087"	"V4-34_J4*02"	2325	0.0661037188672808
"HC_22_BB"	"V3-23_J4*02"	2320	0.070124531495587
"Biotech_081"	"V3-23_J4*02"	2315	0.0734943966475126
"CD1205"	"V4-34_J4*02"	2304	0.0378959834205073
"Biotech_108"	"V4-34_J4*02"	2296	0.0538436283476385
"CD1110"	"V4-39_J4*02"	2292	0.0412965532152574
"CD1362_HC"	"V3-30_J4*02"	2292	0.0519009986186907
"CD1202"	"V4-39_J4*02"	2289	0.0480206432122852
"CD1127"	"V3-23_J4*02"	2265	0.058341704659609
"HC_23_BB"	"V3-23_J4*02"	2261	0.0429439696106363
"CD1362_HC"	"V3-23_J4*02"	2255	0.051063155272752
"CD1071"	"V3-23_J4*02"	2254	0.0543433710249054
"HC_14_BB"	"V4-34_J4*02"	2240	0.0598866431397711
"BC_13"	"V3-21_J4*02"	2191	0.0318579695815279
"HC_21_BB"	"V4-39_J4*02"	2176	0.0362660622322961
"CD1125"	"V3-23_J4*02"	2175	0.0551232987809514
"HC_10_BB"	"V3-23_J4*02"	2174	0.0398899082568807
"Biotech_064"	"V4-39_J4*02"	2169	0.0632103514600455
"CD1169"	"V4-34_J4*02"	2133	0.0348649046241357
"HC_36_BB"	"V3-23_J4*02"	2131	0.0822240228421499
"CD1129"	"V1-69_J4*02"	2121	0.0528532270122103
"Biotech_050"	"V3-30_J4*02"	2101	0.0538869937674729
"HC_21_BB"	"V3-30_J4*02"	2096	0.0349327511208147
"CD1368"	"V1-69_J4*02"	2084	0.0490122295390404
"Biotech_086"	"V4-39_J4*02"	2082	0.0486471330436002
"BC_14"	"V1-69_J4*02"	2050	0.0364593522684831
"Biotech_100"	"V3-23_J4*02"	2032	0.0680805441082856
"HC_20_BB"	"V3-23_J4*02"	2029	0.0430748980978261
"CD1110"	"V3-23_J4*02"	2024	0.0364678113907858
"BC_11"	"V4-34_J4*02"	2007	0.0386385075948636
"HC_10_BB"	"V4-34_J4*02"	2001	0.0367155963302752
"CD1202"	"V3-30_J4*02"	1995	0.0418528541758449
"CD1129"	"V3-23_J4*02"	1972	0.0491402940443558
"CD1110"	"V1-69_J6*02"	1968	0.0354588205617917
"HC_23_BB"	"V3-33_J4*02"	1948	0.0369990503323837
"CD0844"	"V4-39_J4*02"	1943	0.0374215168907207
"HC_31_BB"	"V3-23_J4*02"	1942	0.0618353180920843
"BC_17"	"V1-69_J4*02"	1937	0.0460204324067474
"Biotech_045"	"V3-23_J4*02"	1933	0.0569534472598704
"BC_12"	"V3-23_J4*02"	1923	0.0478084677920593
"CD0844"	"V1-69_J6*02"	1903	0.0366511305419668
"CD1113"	"V4-39_J4*02"	1902	0.0312777503700049
"BC_11"	"V1-69_J4*02"	1876	0.0361165123308242
"CD1113"	"V3-30_J4*02"	1876	0.0308501891136326
"CD0844"	"V1-69_J4*02"	1859	0.0358037055583375
"CD1202"	"V3-30-3_J4*02"	1818	0.0381395934294166
"Biotech_096"	"V4-39_J4*02"	1814	0.0612982799986483
"HC_21_BB"	"V4-34_J4*02"	1813	0.0302161630639489
"CD1113"	"V3-9_J4*02"	1805	0.0296826179904621
"CD1086"	"V1-69_J4*02"	1800	0.0426085927328678
"CD1208"	"V4-39_J4*02"	1792	0.0381276595744681
"Biotech_097"	"V4-34_J4*02"	1790	0.0429122815429243
"CD1076"	"V4-34_J4*02"	1777	0.0462206731519534
"CD1071"	"V4-39_J4*02"	1752	0.042240277744292
"Biotech_108"	"V3-23_J4*02"	1733	0.0406406828947986
"HC_11_BB"	"V3-30_J4*02"	1733	0.0427299849594398
"HC_21_BB"	"V3-21_J4*02"	1733	0.0288828519524675
"BC_14"	"V4-34_J4*02"	1732	0.0308037064043965
"CD1212"	"V1-69_J4*02"	1727	0.0445562435500516
"HC_09_BB"	"V3-23_J4*02"	1722	0.0636740127200118
"HC_10_BB"	"V1-69_J4*02"	1722	0.0315963302752294
"Biotech_065"	"V4-34_J4*02"	1716	0.0381647132086382
"Biotech_065"	"V4-39_J4*02"	1716	0.0381647132086382
"CD1169"	"V3-30-3_J4*02"	1713	0.0279998038542637
"CD1071"	"V1-69_J4*02"	1708	0.0411794488511705
"BC_17"	"V1-69_J6*03"	1703	0.0404609170824424
"Biotech_094"	"V3-30_J4*02"	1694	0.0548060435471869
"CD1076"	"V3-23_J4*02"	1684	0.0438016958851376
"CD1205"	"V3-30-3_J4*02"	1683	0.0276818316391987
"HC_23_BB"	"V3-30_J4*02"	1677	0.0318518518518519
"BC_16"	"V3-30-3_J4*02"	1675	0.032435467942139
"Biotech_087"	"V1-69_J4*02"	1642	0.0466848629591721
"CD1208"	"V1-69_J4*02"	1641	0.0349148936170213
"CD1368"	"V4-39_J4*02"	1637	0.0384995296331138
"CD1169"	"V3-9_J4*02"	1634	0.0267085110904068
"HC_15_BB"	"V3-23_J4*02"	1632	0.0665362035225049
"CD1115"	"V3-23_J4*02"	1630	0.0478876549738528
"BC_13"	"V4-59_J4*02"	1624	0.0236135748974903
"Biotech_090"	"V4-39_J4*02"	1624	0.0471640577353121
"Biotech_065"	"V1-69_J4*02"	1623	0.0360963458843938
"HC_10_BB"	"V3-30_J4*02"	1621	0.029743119266055
"CD0844"	"V4-34_J4*02"	1614	0.0310850891722199
"BC_14"	"V4-39_J4*02"	1608	0.0285983602184004
"CD1110"	"V4-34_J4*02"	1606	0.02893641556008
"HC_20_BB"	"V4-39_J4*02"	1602	0.0340098505434783
"CD1113"	"V3-33_J4*02"	1598	0.0262785726031903
"Biotech_108"	"V1-69_J4*02"	1594	0.0373809858824633
"CD1125"	"V3-30_J4*02"	1575	0.0399168715310338
"BC_17"	"V3-30-3_J4*02"	1562	0.0371109527203611
"BC_13"	"V1-69_J6*02"	1559	0.0226684502864455
"HC_11_BB"	"V1-69_J4*02"	1559	0.0384397268042508
"HC_10_BB"	"V4-39_J4*02"	1556	0.0285504587155963
"CD1113"	"V1-69_J4*02"	1553	0.025538562736392
"HC_24_BB"	"V3-30-3_J4*02"	1551	0.0353609046555105
"HC_23_BB"	"V4-39_J4*02"	1544	0.0293257359924027
"Biotech_097"	"V1-69_J4*02"	1532	0.0367271593987486
"CD1076"	"V4-39_J4*02"	1532	0.0398480986318473
"BC_12"	"V4-34_J6*02"	1531	0.0380627998906099
"Biotech_089"	"V4-34_J4*02"	1505	0.0467739930382894
"CD1205"	"V1-69_J4*02"	1502	0.0247047600250008
"BC_11"	"V4-39_J4*02"	1501	0.0288970602391083
"CD0497"	"V3-21_J4*02"	1498	0.0359284309492973
"HC_31_BB"	"V4-34_J4*02"	1495	0.0476023689740814
"HC_21_BB"	"V1-69_J4*02"	1490	0.0248329194513425
"CD1362_HC"	"V3-21_J4*02"	1489	0.0337175335703449
"CD1362_HC"	"V1-69_J4*02"	1487	0.0336722447408347
"Biotech_107"	"V1-69_J4*02"	1483	0.0361998681865892
"Biotech_108"	"V4-39_J4*02"	1481	0.0347310163688382
"CD1362_HC"	"V4-39_J4*02"	1480	0.033513733837549
"HC_33_BB"	"V3-23_J4*02"	1480	0.0949935815147625
"BC_10"	"V1-69_J4*02"	1477	0.037649757838389
"CD1129"	"V1-69_J6*02"	1476	0.0367804634936457
"CD1368"	"V4-34_J4*02"	1475	0.034689557855127
"HC_35_BB"	"V1-69_J4*02"	1473	0.0372949159408548
"CD1127"	"V1-69_J6*02"	1472	0.0379156685469953
"CD1169"	"V3-30_J4*02"	1472	0.0240605436505991
"Biotech_097"	"V4-39_J4*02"	1465	0.0351209455085944
"CD1115"	"V1-69_J4*02"	1459	0.042863858041013
"Biotech_090"	"V3-9_J4*02"	1447	0.0420236401126826
"HC_13_BB"	"V3-23_J4*02"	1445	0.0715949066045682
"CD1208"	"V4-34_J4*02"	1441	0.0306595744680851
"CD1205"	"V3-30_J4*02"	1435	0.0236027500904635
"HC_10_BB"	"V1-69_J6*02"	1430	0.0262385321100917
"BC_16"	"V3-33_J4*02"	1422	0.0275362599484905
"CD1205"	"V3-9_J4*02"	1422	0.0233889272673443
"CD1208"	"V1-69_J6*02"	1421	0.0302340425531915
"HC_35_BB"	"V4-39_J4*02"	1421	0.0359783269191817
"Biotech_089"	"V3-23_J4*02"	1420	0.0441322725012432
"BC_10"	"V1-69_J6*03"	1418	0.0361458067805251
"Biotech_067"	"V4-34_J4*02"	1416	0.0390911851586009
"CD1368"	"V4-59_J4*02"	1410	0.0331608654750706
"BC_13"	"V3-33_J4*02"	1403	0.0204001512199378
"BC_11"	"V1-69_J6*02"	1398	0.0269141173979169
"HC_22_BB"	"V4-39_J4*02"	1389	0.0419840406238665
"CD1169"	"V3-21_J4*02"	1388	0.0226875234966247
"CD1212"	"V4-39_J4*02"	1384	0.0357069143446852
"BC_11"	"V3-21_J4*02"	1383	0.0266253393142483
"CD1368"	"V3-48_J4*02"	1368	0.032173095014111
"CD1125"	"V4-39_J4*02"	1366	0.0346199660389791
"HC_20_BB"	"V3-33_J4*02"	1357	0.02880859375
"BC_16"	"V3-30_J4*02"	1356	0.0262582056892779
"Biotech_094"	"V4-39_J4*02"	1356	0.0438707172668155
"HC_10_BB"	"V3-21_J4*02"	1356	0.0248807339449541
"BC_13"	"V1-18_J4*02"	1349	0.019614970773839
"Biotech_092"	"V1-69_J6*02"	1349	0.0294162541703919
"HC_20_BB"	"V4-34_J4*02"	1348	0.028617527173913
"BC_14"	"V3-21_J4*02"	1340	0.023831966848667
"CD0844"	"V3-30-3_J4*02"	1340	0.0258079426832557
"HC_14_BB"	"V3-21_J4*02"	1339	0.03579831034114
