	FEATURE	IMPORTANCE
246	V2_J2_VJ	0.06914883394252568
125	D6-19	0.05017564353083478
86	V4-4	0.04883591179752094
110	D3-10	0.04715620604217097
83	V4-34	0.03211876494343498
290	V2_J4-VJ	0.03158776106675266
25	V1-8	0.031067736306961035
132	J4	0.0294988384611026
128	D7-27	0.02889302015487973
242	V1_J4_VJ	0.0270238877510383
21	V1-58	0.02628015935634065
301	V4_J3-VJ	0.026041666666666664
124	D6-13	0.023433374405914444
287	V2_J1-VJ	0.021825642115820686
282	V1_J2-VJ	0.019204866631337223
111	D3-16	0.017697753289858554
210	69-JL	0.017223105458399578
159	21-JL	0.016919318702219834
243	V1_J5_VJ	0.016905688650110558
230	9-JL	0.015886092041698448
90	V4/OR15-8	0.01579696394686907
42	V3-19	0.015421716598187191
288	V2_J2-VJ	0.015214285714285717
314	V6_J4-VJ	0.015170940170940176
109	D2/OR15-2a	0.014864658394070163
200	6-JL	0.014835339541221904
196	56-JL	0.014512832159890982
284	V1_J4-VJ	0.013867667350081317
249	V2_J5_VJ	0.013007797713680061
15	V1-2	0.01296942812481105
190	50-JL	0.011997937645787101
186	47-JL	0.011180255886138237
306	V5_J2-VJ	0.010723261321347443
57	V3-49	0.010467948717948717
207	66-JL	0.009218335983041864
213	72-JL	0.009153254543557499
43	V3-20	0.009030206677265501
255	V3_J5_VJ	0.008707699295934597
238	99-JL	0.008551332080743846
184	45-JL	0.008477820629523417
82	V4-31	0.008452380952380953
52	V3-38	0.008385298563869992
280	V7_J6_VJ	0.008155806182121975
0	V1	0.0075491759702286014
331	CDR3_AA_AROMATIC.mean	0.007513227513227513
292	V2_J6-VJ	0.006761904761904761
9	D3	0.006646316646316643
293	V3_J1-VJ	0.005643879173290939
96	V7-4-1	0.0054702909270217
126	D6-25	0.005452182645165099
172	33-JL	0.005449262650074006
46	V3-23	0.005440613026819919
192	52-JL	0.005375123022181847
50	V3-33	0.005353174603174601
241	V1_J3_VJ	0.0052097346214993265
55	V3-47	0.005190058479532164
201	60-JL	0.005190058479532164
127	D6-6	0.005130799248446309
145	114-JL	0.005077905491698602
6	V7	0.005062741027653314
279	V7_J5_VJ	0.004938394276629571
123	D5/OR15-5a	0.0048864754747107685
103	D1-7	0.004843348450491309
299	V4_J1-VJ	0.00451510333863275
11	D5	0.00451510333863275
322	V7_J6-VJ	0.00451510333863275
272	V6_J4_VJ	0.0037745879851143007
187	48-JL	0.0037566137566137576
122	D5-24	0.0016513822434875102
